gameId,platformId,gameCreation,gameDuration,queueId,mapId,seasonId,gameVersion,gameMode,gameType,team0-teamId,team0-win,team0-firstBlood,team0-firstTower,team0-firstInhibitor,team0-firstBaron,team0-firstDragon,team0-firstRiftHerald,team0-towerKills,team0-inhibitorKills,team0-baronKills,team0-dragonKills,team0-vilemawKills,team0-riftHeraldKills,team0-dominionVictoryScore,team0-ban-0-championId,team0-ban-1-championId,team0-ban-2-championId,team0-ban-3-championId,team0-ban-4-championId,team1-teamId,team1-win,team1-firstBlood,team1-firstTower,team1-firstInhibitor,team1-firstBaron,team1-firstDragon,team1-firstRiftHerald,team1-towerKills,team1-inhibitorKills,team1-baronKills,team1-dragonKills,team1-vilemawKills,team1-riftHeraldKills,team1-dominionVictoryScore,team1-ban-0-championId,team1-ban-1-championId,team1-ban-2-championId,team1-ban-3-championId,team1-ban-4-championId
3156986213,NA1,1569284015272,1479,420,11,13,9.18.289.6958,CLASSIC,MATCHED_GAME,100,Fail,false,true,false,false,true,true,3,0,0,1,0,1,0,30,246,412,-1,122,200,Win,true,false,true,false,false,false,9,2,0,2,0,0,0,121,119,157,114,91
3157005485,NA1,1569285952180,2108,420,11,13,9.18.289.6958,CLASSIC,MATCHED_GAME,100,Fail,true,false,false,false,false,false,3,0,0,3,0,0,0,421,82,51,80,121,200,Win,false,true,true,true,true,false,11,3,2,2,0,0,0,119,25,17,91,517
3168886131,NA1,1570539178470,199,420,11,13,9.19.290.8808,CLASSIC,MATCHED_GAME,100,Fail,true,false,false,false,false,false,0,0,0,0,0,0,0,38,53,19,246,-1,200,Win,false,false,false,false,false,false,0,0,0,0,0,0,0,497,119,555,92,121
3168897364,NA1,1570542230935,1898,420,11,13,9.19.290.8808,CLASSIC,MATCHED_GAME,100,Fail,false,true,false,false,false,true,4,0,0,1,0,1,0,27,350,91,39,92,200,Win,true,false,true,true,true,false,9,1,1,3,0,0,0,53,266,236,555,2
3157028017,NA1,1569288463560,969,420,11,13,9.18.289.6958,CLASSIC,MATCHED_GAME,100,Win,false,true,false,false,true,true,6,0,0,1,0,1,0,25,91,122,119,28,200,Fail,true,false,false,false,false,false,0,0,0,0,0,0,0,38,119,267,107,245
3168933420,NA1,1570534005479,1636,420,11,13,9.19.290.8808,CLASSIC,MATCHED_GAME,100,Fail,true,false,false,false,false,false,1,0,0,0,0,0,0,67,119,238,107,121,200,Win,false,true,true,true,true,true,7,1,1,3,0,1,0,60,41,25,119,121
3168937660,NA1,1570544706677,1225,420,11,13,9.19.290.8808,CLASSIC,MATCHED_GAME,100,Win,true,true,false,false,true,false,3,0,0,2,0,0,0,119,28,350,91,266,200,Fail,false,false,false,false,false,true,2,0,0,0,0,1,0,107,62,64,126,85
3168915846,NA1,1570539971074,1717,420,11,13,9.19.290.8808,CLASSIC,MATCHED_GAME,100,Win,false,true,true,true,true,true,10,2,1,5,0,1,0,246,157,30,91,119,200,Fail,true,false,false,false,false,false,1,0,0,0,0,0,0,24,157,84,555,245
3170037775,NA1,1570661224645,1092,420,11,13,9.20.292.2452,CLASSIC,MATCHED_GAME,100,Win,false,true,true,false,true,false,8,1,0,2,0,0,0,91,85,245,119,28,200,Fail,true,false,false,false,false,false,1,0,0,0,0,0,0,30,122,81,7,2
3168895086,NA1,1570536281183,1788,420,11,13,9.19.290.8808,CLASSIC,MATCHED_GAME,100,Fail,true,false,false,false,true,true,2,0,0,1,0,1,0,119,122,84,54,38,200,Win,false,true,true,true,false,false,9,1,2,1,0,0,0,25,107,82,92,555
